Entity,Code,Year,Human Development Index,CPI,Human capital index (HCI) (scale 0-1),"Registered vehicles per 1,000 people",Internet access (%),Cellular phone,Years of schooling,Social Spending,Trade Openess,US Population growth
United States,USA,1990,0.872,5.3979564,0.6915082,866.6226,0,0,12.73,13.197,19.81505,1.12965052
United States,USA,1991,0.873,4.234964,0.6915082,866.6226,0,0,12.73,14.166,19.78645,1.336260741
United States,USA,1992,0.878,3.0288196,0.6915082,866.6226,0,0,12.73,14.847,19.95059,1.386885692
United States,USA,1993,0.88,2.951657,0.6915082,866.6226,0,0,12.73,15.114,20.04462,1.31868
United States,USA,1994,0.884,2.6074417,0.6915082,866.6226,0,10,12.73,15.06,21.05546,1.226296089
United States,USA,1995,0.885,2.8054197,0.6915082,866.6226,0,12,13.04616,14.94,22.45338,1.190787091
United States,USA,1996,0.887,2.9312043,0.6915082,866.6226,0,16,13.04616,15.215,22.68707,1.16341162
United States,USA,1997,0.89,2.3376899,0.6915082,866.6226,0,21,13.04616,14.333,23.42832,1.203960297
United States,USA,1998,0.893,1.5522791,0.6915082,866.6226,0,36.3,13.04616,14.395,22.82589,1.165714526
United States,USA,1999,0.889,2.1880271,0.6915082,866.6226,0,34,13.04616,14.119,23.31356,1.148340047
United States,USA,2000,0.891,3.3768573,0.6915082,866.6226,47.75,42,13.01,14.123,25.103,1.112768997
United States,USA,2001,0.892,2.8261712,0.6915082,866.6226,50.25,49,13.68343,14.698,22.96718,0.989741382
United States,USA,2002,0.893,1.5860317,0.6915082,866.6226,54.5,56,13.68343,15.536,22.28638,0.927797486
United States,USA,2003,0.895,2.2700949,0.6915082,866.6226,57,62.8,13.68343,15.801,22.62731,0.859481713
United States,USA,2004,0.898,2.6772368,0.6915082,866.6226,59.25,63,13.68343,15.663,24.44806,0.925483969
United States,USA,2005,0.9,3.392747,0.6915082,866.6226,64,71.3,13.25845,15.492,25.63855,0.921713167
United States,USA,2006,0.904,3.225944,0.6915082,866.6226,67.5,67,13.25845,15.541,26.97528,0.964253917
United States,USA,2007,0.906,2.8526726,0.6915082,866.6226,70,73,13.25845,15.673,28.01202,0.951055243
United States,USA,2008,0.906,3.8391004,0.6915082,866.6226,70.75,75,13.25845,16.245,29.8678,0.945865287
United States,USA,2009,0.908,-0.35554627,0.6915082,866.6226,72.75,84,13.25845,18.309,24.75953,0.876651299
United States,USA,2010,0.911,1.6400435,0.6915082,866.6226,73.5,87.2,13.61,19.033,28.21989,0.829616675
United States,USA,2011,0.913,3.1568415,0.6915082,866.6226,76,89,13.61,18.726,30.84249,0.726786705
United States,USA,2012,0.916,2.0693374,0.6915082,866.6226,80,87,13.61,18.46,30.68184,0.733599941
United States,USA,2013,0.917,1.4648327,0.6915082,866.6226,81.5,90,13.61,18.428,30.00237,0.692860277
United States,USA,2014,0.919,1.622223,0.6915082,866.6226,81.75,91,13.61,18.439,29.998,0.73336152
United States,USA,2015,0.92,0.11862714,0.6915082,866.6226,84.25,92,13.21789,18.537,27.81223,0.736217309
United States,USA,2016,0.922,1.2615832,0.762,866.6226,86.5,93,13.21789,18.658,26.587,0.724676067
United States,USA,2017,0.924,2.13011,0.762,866.6226,86.5,94,13.21789,18.474,27.27916,0.632643995
United States,USA,2018,0.927,2.4425833,0.71368325,866.6226,87,95,13.21789,18.235,27.61038,0.526435396
United States,USA,2019,0.93,1.8122101,0.70176435,866.6226,89.5,96,13.21789,18.262,26.45195,0.455381286
United States,USA,2020,0.92,1.2335844,0.70176435,866.6226,92,96,13.68343,23.942,23.38376,0.9643479
United States,USA,2021,0.921,4.697859,0.70176435,866.6226,92,96,13.68343,22.7,25.4814,0.156747055
