Timestep,Susceptibles,Infected,Recovered,US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Reward,Reward Social Welfare
30,10128620000.0,31333676.0,30922594.0,16910340057698.977,21466585914800.0,32397746000.0,0,0.0,0.1630441,411683940.1438675,1028122499.2216817,9589041298.803843,[27.852333],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],-0.07616111195598496,-0.07616111195598496
60,19869970000.0,52454264.0,130586660.0,16922702221862.273,21466585914800.0,31607773000.0,0,0.0,0.1630441,412435513.1916828,1028874072.2694967,9589041298.803843,[56.40819],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],-0.0437788948520601,-0.0437788948520601
90,29602765000.0,57713196.0,254671380.0,16935086954477.95,21466585914800.0,31967281000.0,0,0.0,0.1630441,413188458.3164501,1029627017.3942646,9589041298.803843,[86.50565],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],-0.0006280867985527516,-0.0006280867985527516
120,39332246000.0,59473824.0,385568830.0,16947494296747.121,21466585914800.0,32665326000.0,0,0.0,0.1630441,413942778.0230446,1030381337.1008584,9589041298.803843,[116.940155],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.05143886095533323,0.05143886095533323
150,49060102000.0,60275716.0,519046800.0,16959924289946.137,21466585914800.0,33422754000.0,0,0.0,0.1630441,414698474.8209114,1031137033.8987249,9589041298.803843,[147.46645],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.10201095733114096,0.10201095733114096
180,58786940000.0,60762932.0,653861100.0,16972376975426.695,21466585914800.0,34146466000.0,0,0.0,0.1630441,415455551.2240772,1031894110.3018914,9589041298.803843,[178.0227],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.14738789562793542,0.14738789562793542
210,68512997000.0,61127004.0,789573500.0,16984852394615.967,21466585914800.0,34808810000.0,0,0.0,0.1630441,416214009.75115967,1032652568.8289741,9589041298.803843,[208.59058],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.18698590706313611,0.18698590706313611
240,78238400000.0,61435404.0,926001100.0,16997350589016.783,21466585914800.0,35405226000.0,0,0.0,0.1630441,416973852.925375,1033412412.0031891,9589041298.803843,[239.16371],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.22125845537658884,0.22125845537658884
270,87963200000.0,61716784.0,1063058100.0,17009871600207.71,21466585914800.0,35939130000.0,0,0.0,0.1630441,417735083.27454185,1034173642.3523563,9589041298.803843,[269.73938],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.25091332698972313,0.25091332698972313
300,97672634000.0,61985540.0,1215496100.0,17022415469843.254,21466585914800.0,36416380000.0,0,0.0,0.1630441,418497703.33109856,1034936262.4089131,9589041298.803843,[300.31616],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.27665047118942193,0.27665047118942193
