Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,324969900.0,1397189.0,2370843.8,0.0,48.171,14.501497600295062,17176581698337.64,21466585914800.0,1.566957764608,3,270195547397.26038,16.304409503936768,9293126967.413795,903046455.4137958,1.75,1.9200000911951065,287671260000.0,[20.377628],57413698000.0,25734246000.0,88158910000.0,106843830000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.377628],[20.553349],0.512754520823461,0.512754520823461
2.0,323105280.0,807701.1,4824958.0,0.0,98.349,12.902452663841792,17455602935431.94,21466585914800.0,3.08307951616,3,540391094794.5199,16.304409503936768,9307803477.599152,917722965.5991527,1.75,1.9200000911951065,575342400000.0,[39.52174],112975330000.0,50638350000.0,173473970000.0,210241100000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.52174],[39.813644],0.7161356211440844,0.7161356211440844
3.0,322218660.0,435985.56,6083283.0,0.0,122.16,10.978552896831042,17599917295991.13,21466585914800.0,4.510767382528,1,675488868493.1497,16.304409503936768,309349880.04195595,925787640.0419564,5.25,1.9200000911951065,863013600000.0,[64.58697],168536980000.0,75542454000.0,258789060000.0,313638350000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[64.58697],[60.22069],0.8063379298772193,0.8063379298772193
4.0,320963780.0,630718.0,7143397.0,0.0,141.554,10.087732928257658,17879607101289.926,21466585914800.0,6.172713156608,3,945684415890.4092,16.304409503936768,9330106086.25953,940025574.2595303,5.5,1.9200000911951065,1150684800000.0,[90.6441],224098630000.0,100446570000.0,344104100000.0,417035650000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[90.6441],[84.27386],0.8541787055057075,0.8541787055057075
5.0,319504000.0,650279.7,8593773.0,0.0,172.046,8.700750539527057,17889624610421.836,21466585914800.0,7.513551405056,15,945684415890.4092,16.304409503936768,362942428.1085224,941024220.1085227,5.5,1.9200000911951065,1438356000000.0,[114.209],279660270000.0,125679436000.0,429419200000.0,520432880000.0,4308723854978.628,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[114.209],[106.247955],0.8219673720227743,0.8219673720227743
6.0,318396100.0,521663.8,9820144.0,0.0,196.888,7.841520781557793,17900604004162.316,21466585914800.0,8.896682917888,5,945684415890.4092,16.304409503936768,366258999.8664646,941601591.8664654,5.5,1.9200000911951065,1726027100000.0,[139.04271],335221900000.0,151816400000.0,514734300000.0,623830200000.0,4443821628677.256,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[139.04271],[129.94963],0.8029103462016631,0.8029103462016631
7.0,317231230.0,568779.2,10937914.0,0.0,218.184,7.120198145929719,18046567213003.94,21466585914800.0,10.490168213504,14,1080782189589.039,16.304409503936768,335582710.5723629,949281270.5723637,5.5,1.9200000911951065,2013698500000.0,[164.6727],390783570000.0,177624610000.0,600049300000.0,727227430000.0,4443821628677.256,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[164.6727],[155.38268],0.8747358091973259,0.8747358091973259
8.0,315152300.0,1041816.9,12543776.0,0.0,248.444,6.847257619045076,18326962406497.605,21466585914800.0,12.272422354944,3,1350977736986.3018,16.304409503936768,9353636964.273434,963556452.2734324,5.5,1.9200000911951065,2301369500000.0,[188.28967],446345180000.0,202528720000.0,685364400000.0,830624700000.0,4443821628677.256,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[188.28967],[182.45718],0.7372169521716304,0.7372169521716304
9.0,311331360.0,1776656.1,15629857.0,0.0,313.035,6.708244448443848,18607800424341.746,21466585914800.0,14.041573490688,3,1621173284383.565,16.304409503936768,9368409037.081394,978328525.0813956,5.5,1.9200000911951065,2589040800000.0,[204.19713],501906870000.0,227432840000.0,770679500000.0,934021960000.0,4443821628677.256,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[204.19713],[208.98613],0.5155189490396723,0.5155189490396723
10.0,305059620.0,2181236.2,21497086.0,0.49320124667335297,399.223,6.418795938342567,18753934434868.14,21466585914800.0,15.637552300032,5,1756271058082.1965,16.304409503936768,370051153.0675678,986488913.0675683,5.5,1.9200000911951065,2876712200000.0,[215.25464],557468500000.0,252336950000.0,855994500000.0,1037419200000.0,4578919402375.884,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[215.25464],[234.23276],0.4751000738175263,0.4751000738175263
