Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,325184200.0,1446269.9,2107470.2,0.0,42.14941015625,9.748627231669863,16888890374021.555,21466585914800.0,1.619294158848,3,18013036493.150684,26.304409503936764,-6644293417.793383,26665824000.0,0.5,1.9200000911951065,322958800000.0,[21.729866],57336984000.0,25876711000.0,88202740000.0,106726030000.0,4155613044786.8496,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[21.729866],[28.124495],0.6978721266101101,0.6978721266101101
2.0,320199650.0,2448546.2,6089675.5,0.0,121.7935078125,9.833419702034005,16836007935310.303,21466585914800.0,3.227034058752,10,45032591232.87671,16.304409503936764,-59526732129.04472,53242960000.0,0.75,1.9200000911951065,698848840000.0,[34.25693],113008210000.0,50898625000.0,173690400000.0,209964400000.0,4146606526540.2744,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[34.25693],[55.685135],0.5460767068486978,0.5460767068486978
3.0,314160160.0,2847119.2,11730647.0,0.0,234.612921875,10.1039872139361,16824535301738.564,21466585914800.0,4.828104753152,12,72052145972.60274,26.304409503936764,-70999365700.78836,79825486000.0,0.75,1.9200000911951065,1033570100000.0,[39.333977],168975340000.0,75964375000.0,259136980000.0,313136970000.0,4146606526540.2744,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.333977],[83.18914],0.4437938926181884,0.4437938926181884
4.0,307864500.0,2836774.0,18036624.0,0.0,360.73253125,9.376675004534615,16606925553373.36,21466585914800.0,6.44414963712,4,99071700712.32878,16.304409503936764,-288609114065.9955,106172430000.0,0.75,1.9200000911951065,1574135400000.0,[41.42428],224882180000.0,101035610000.0,344775330000.0,416117820000.0,4137600008293.699,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[41.42428],[110.56334],0.45479010183088286,0.45479010183088286
5.0,301961100.0,2658127.0,24118748.0,0.0,482.37496875,8.626861892012482,16398516413687.357,21466585914800.0,8.090463240192,7,153110810191.78085,56.30440950393676,-497018253751.9994,132308570000.0,0.5,1.9200000911951065,2132344300000.0,[44.519966],281016430000.0,126027380000.0,430369870000.0,519010980000.0,4137600008293.699,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[44.519966],[137.95923],0.4667320129726591,0.4667320129726591
6.0,297034020.0,2326705.5,29377194.0,0.0,587.543875,8.605427187778364,15965096556125.025,21466585914800.0,9.720159010816,13,171123846684.93155,56.30440950393676,-930438111314.3369,157838340000.0,0.5,1.9200000911951065,2878753700000.0,[51.315056],337180820000.0,151115060000.0,515997270000.0,621578100000.0,4119586971800.549,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[51.315056],[165.38522],0.5360107896826383,0.5360107896826383
7.0,292324670.0,2188405.5,34224812.0,0.0,684.496125,8.561825280902493,15321631600713.205,21466585914800.0,11.351756898304,9,180130364931.5069,36.30440950393676,-1573903066726.1604,182448460000.0,0.5,1.9200000911951065,3825125800000.0,[59.955288],393213670000.0,176210940000.0,601660300000.0,724074040000.0,4128593490047.124,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[59.955288],[192.60545],0.5705253814112877,0.5705253814112877
8.0,287682200.0,2158664.5,38897020.0,0.0,777.940375,7.900486294985212,15218906862577.725,21466585914800.0,12.991288311808,13,189136883178.08224,36.30440950393676,-1676627804861.645,206531380000.0,0.75,1.9200000911951065,4230422200000.0,[69.38333],449476700000.0,201567110000.0,687213700000.0,826386350000.0,4101573935307.3984,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[69.38333],[221.18095],0.5813705848045773,0.5813705848045773
9.0,283341200.0,2022741.1,43373990.0,0.0,867.479875,8.172235599376373,14774604704354.352,21466585914800.0,14.632211185664,0,198143401424.6576,56.30440950393676,-2120929963085.016,230251130000.0,1.25,1.9200000911951065,4976831600000.0,[79.68827],505843800000.0,227013670000.0,772706860000.0,928449400000.0,4065547862321.0977,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[79.68827],[249.05951],0.5912081485716574,0.5912081485716574
10.0,274121100.0,2022277.9,52594572.0,1.499963880041145,953.2725625,7.424299970314347,14043623912548.787,21466585914800.0,16.276151861248,1,198143401424.6576,66.30440950393675,-2851910754890.5786,252989080000.0,1.0,1.9200000911951065,5999660400000.0,[90.83459],562350650000.0,252323270000.0,858219200000.0,1030219240000.0,4038528307581.372,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[90.83459],[276.59448],0.6005235049266998,0.6005235049266998
