Day,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
0.03333333333333333,328111500.0,424899.12,201511.6,0.0,0.786,0.04303064329214766,16898000000000.0,21466585914800.0,49356320000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,9315069000.0,[1.6200399],714000000000.0,1052000000000.0,1100000000000.0,1227000000000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[1.6200399],[1.6626215],1.6379667425018694,1.6379667425018694
0.06666666666666667,328034980.0,471096.75,231861.52,0.0,1.029,0.04303064329214766,16898000000000.0,21466585914800.0,97953600000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[2.5792155],0.0,0.0,0.0,0.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[2.5792155],[2.4037366],0.8673721029392238,0.8673721029392238
0.1,327953000.0,519401.3,265511.25,0.0,1.362,0.04303064329214766,16898000000000.0,21466585914800.0,145964140000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[3.5181804],0.0,0.0,0.0,0.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[3.5181804],[3.129059],0.8490213382217422,0.8490213382217422
0.13333333333333333,327865820.0,569498.8,302611.38,0.0,1.779,0.04303064329214766,16898000000000.0,21466585914800.0,193456870000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[4.4382815],0.0,0.0,0.0,0.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[4.4382815],[3.8369532],0.8307620196470612,0.8307620196470612
0.16666666666666666,327773500.0,621141.75,343289.88,0.0,2.298,0.04303064329214766,16898000000000.0,21466585914800.0,240776360000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[5.3354774],0.0,0.0,0.0,0.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[5.3354774],[4.5515423],0.8203182987212421,0.8203182987212421
0.2,327676100.0,674160.75,387657.16,0.0,3.011,0.04303064329214766,16898000000000.0,21466585914800.0,287784760000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[6.1891074],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[6.1891074],[5.248489],0.7876663314644343,0.7876663314644343
0.23333333333333334,327574080.0,728028.56,435811.5,0.0,3.566,0.04303064329214766,16898000000000.0,21466585914800.0,334654400000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[7.0782185],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.0782185],[5.9467664],0.8087702957921182,0.8087702957921182
0.26666666666666666,327467840.0,782230.9,487813.53,0.0,4.27,0.04303064329214766,16898000000000.0,21466585914800.0,381488600000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[7.9338694],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.9338694],[6.6477323],0.7905286844000452,0.7905286844000452
0.3,327357950.0,836277.06,543687.1,0.0,5.346,0.04303064329214766,16898000000000.0,21466585914800.0,427977240000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[8.705982],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[8.705982],[7.322416],0.7310950999899133,0.7310950999899133
0.3333333333333333,327244700.0,889751.3,603421.25,0.0,6.972,0.14501497600295063,16898000000000.0,21466585914800.0,465865540000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[9.354585],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[9.354585],[6.904086],0.1994238518739426,0.1994238518739426
0.36666666666666664,327128930.0,942053.1,666974.94,0.0,8.517,0.14501497600295063,16898000000000.0,21466585914800.0,503640200000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[10.021377],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[10.021377],[7.154216],0.49137712233343633,0.49137712233343633
0.4,327010720.0,992914.0,734264.4,0.0,9.948,0.14501497600295063,16898000000000.0,21466585914800.0,541357570000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[10.713769],0.0,0.0,0.0,0.0,11268316081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[10.713769],[7.4042873],0.5061753222261772,0.5061753222261772
0.43333333333333335,326890600.0,1042121.94,805186.8,0.0,11.564,0.14501497600295063,16898000000000.0,21466585914800.0,578848800000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[11.364616],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[11.364616],[7.6297503],0.471760677698203,0.471760677698203
0.4666666666666667,326769120.0,1089158.0,879624.06,0.0,13.198,0.14501497600295063,16898000000000.0,21466585914800.0,616339100000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[12.011422],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[12.011422],[7.8692474],0.47532881481789135,0.47532881481789135
0.5,326646940.0,1133528.4,957421.06,0.0,14.959,0.14501497600295063,16898000000000.0,21466585914800.0,653828400000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[12.629708],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[12.629708],[8.108688],0.4587920604133152,0.4587920604133152
0.5333333333333333,326524540.0,1174992.9,1038387.4,0.0,17.563,0.14501497600295063,16898000000000.0,21466585914800.0,691176100000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[13.058686],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[13.058686],[8.330418],0.3417261958243817,0.3417261958243817
0.5666666666666667,326402340.0,1213247.6,1122315.5,0.0,19.713,0.14501497600295063,16898000000000.0,21466585914800.0,728494640000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[13.589617],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[13.589617],[8.557419],0.40297616280076975,0.40297616280076975
0.6,326280930.0,1248012.4,1208976.0,0.0,21.96,0.14501497600295063,16898000000000.0,21466585914800.0,765784160000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[14.098764],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[14.098764],[8.782597],0.3895962712258077,0.3895962712258077
0.6333333333333333,326160540.0,1279248.9,1298119.6,0.0,24.111,0.14501497600295063,16898000000000.0,21466585914800.0,802988500000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[14.62947],0.0,0.0,0.0,0.0,18350618081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[14.62947],[8.998833],0.3983138907431576,0.3983138907431576
0.6666666666666666,326041400.0,1307020.5,1389494.8,0.0,26.242,0.14501497600295063,16898000000000.0,21466585914800.0,840164000000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[15.164667],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[15.164667],[9.21681],0.4016475715503376,0.4016475715503376
0.7,325923870.0,1331192.2,1482853.5,0.0,28.151,0.14501497600295063,16898000000000.0,21466585914800.0,877310640000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[15.749718],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[15.749718],[9.432967],0.4297463255931889,0.4297463255931889
0.7333333333333333,325808200.0,1351769.6,1577938.5,0.0,30.151,0.14501497600295063,16898000000000.0,21466585914800.0,914456700000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[16.314333],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[16.314333],[9.650873],0.4186504370960561,0.4186504370960561
0.7666666666666667,325694700.0,1368751.2,1674493.4,0.0,32.632,0.14501497600295063,16898000000000.0,21466585914800.0,951574100000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[16.770931],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[16.770931],[9.865167],0.3545882559071517,0.3545882559071517
0.8,325583520.0,1382122.6,1772261.2,0.0,35.225,0.14501497600295063,16898000000000.0,21466585914800.0,988690800000.0,0,0.0,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[17.20238],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[17.20238],[10.081213],0.3407636241879889,0.3407636241879889
0.8333333333333334,325474900.0,1392001.1,1870984.2,0.0,37.415,0.14501497600295063,16898000000000.0,21466585914800.0,1062733740000.0,0,18013036493.150684,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[17.724327],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[17.724327],[11.687297],0.9783689674806932,0.9783689674806932
0.8666666666666667,325368770.0,1398731.1,1970413.1,0.0,39.516,0.14501497600295063,16898000000000.0,21466585914800.0,1136776300000.0,0,36026072986.30137,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[18.26626],0.0,0.0,0.0,0.0,25359658081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[18.26626],[12.682244],0.732652380115052,0.732652380115052
0.9,325265180.0,1402460.8,2070322.5,0.0,41.451,0.14501497600295063,16898000000000.0,21466585914800.0,1210874900000.0,0,54039109479.45206,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[18.845472],0.0,0.0,0.0,0.0,32280374081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[18.845472],[13.680298],0.7555439250983229,0.7555439250983229
0.9333333333333333,325164060.0,1403343.0,2170498.0,0.0,43.438,0.14501497600295063,16898000000000.0,21466585914800.0,1284973000000.0,0,72052145972.60274,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[19.413006],0.0,0.0,0.0,0.0,32280374081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[19.413006],[14.676787],0.748124484739231,0.748124484739231
0.9666666666666667,325065700.0,1401494.1,2270737.0,0.0,45.695,0.14501497600295063,16898000000000.0,21466585914800.0,1359070900000.0,0,90065182465.75342,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[19.919907],0.0,0.0,0.0,0.0,32280374081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[19.919907],[15.673269],0.7130148919835952,0.7130148919835952
1.0,324969900.0,1397189.0,2370843.8,0.0,48.171,0.14501497600295063,16898000000000.0,21466585914800.0,1433224700000.0,0,108078218958.9041,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[20.377628],0.0,0.0,0.0,0.0,32280374081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.377628],[16.67285],0.6858442121859203,0.6858442121859203
2.0,323105280.0,807701.1,4824958.0,0.0,98.349,0.12902452663841793,16898000000000.0,21466585914800.0,2926562800000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,0.0192,0.0,[39.52174],0.0,0.0,0.0,0.0,60098002081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.52174],[21.321276],0.586850390721396,0.586850390721396
3.0,322218660.0,435985.56,6083283.0,0.0,122.16,0.10978552896831043,23686871000000.0,21466585914800.0,4174464000000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[64.58697],0.0,0.0,0.0,0.0,95084440081280.0,1.5,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[64.58697],[-83.36954],-4.269684274906648,-4.269684274906648
4.0,320963780.0,630718.0,7143397.0,0.0,141.554,0.10087732928257657,24974171870000.0,21466585914800.0,5480801000000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[90.6441],0.0,0.0,0.0,0.0,123372854081280.0,0.3,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[90.6441],[-90.08092],0.42966914168998793,0.42966914168998793
5.0,319504000.0,650279.7,8593773.0,0.0,172.046,0.08700750539527057,24974171870000.0,21466585914800.0,6817183700000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[114.209],0.0,0.0,0.0,0.0,152005330081280.0,0.1,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[114.209],[-77.080284],0.6929268272457234,0.6929268272457234
6.0,318396100.0,521663.8,9820144.0,0.0,196.888,0.07841520781557793,25746260370000.0,21466585914800.0,8195719300000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[139.04271],0.0,0.0,0.0,0.0,180862721081280.0,0.6,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[139.04271],[-135.0603],-0.3637007802045346,-0.3637007802045346
7.0,317231230.0,568779.2,10937914.0,0.0,218.184,0.0712019814592972,26477240630000.0,21466585914800.0,9608866000000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[164.6727],0.0,0.0,0.0,0.0,217570170081280.0,1.0,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[164.6727],[-466.5275],-4.257982190307016,-4.257982190307016
8.0,315152300.0,1041816.9,12543776.0,0.0,248.444,0.06847257619045076,26524952910000.0,21466585914800.0,11035113000000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[188.28967],0.0,0.0,0.0,0.0,247134604081280.0,1.3,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[188.28967],[-807.38947],-4.42142130521523,-4.42142130521523
9.0,311331360.0,1776656.1,15629857.0,0.0,313.035,0.06708244448443848,26728835850000.0,21466585914800.0,12448298000000.0,0,270195547397.26035,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[204.19713],0.0,0.0,0.0,0.0,277281866081280.0,1.4,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[204.19713],[-1148.2513],-4.638820032443976,-4.638820032443976
10.0,305059620.0,2181236.2,21497086.0,0.00493201246673353,399.223,0.06418795938342567,26945391180000.0,21466585914800.0,14168576000000.0,0,418803098465.7531,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[215.25464],0.0,0.0,0.0,0.0,315672765081280.0,1.2,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[215.25464],[-1489.1132],-4.6566332056678625,-4.6566332056678625
11.0,289440200.0,1557809.1,37739900.0,0.04147437620186167,483.595,0.06250881933558282,27135476660000.0,21466585914800.0,15596128000000.0,0,418803098465.7531,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[226.71999],0.0,0.0,0.0,0.0,346878265081280.0,1.2,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[226.71999],[-1829.975],-4.3193531228739825,-4.3193531228739825
12.0,262028740.0,783637.5,65925516.0,0.11965406509421322,532.758,0.06070464047110404,27446288230000.0,21466585914800.0,17362721000000.0,0,575516515956.1641,0.1630441,17945205479.452053,1027397260.2739726,1.75,1.92,0.0,[246.09206],0.0,0.0,0.0,0.0,378471055081280.0,1.4,1.92,[0.],[0.],[0.],[0.],[0.],[0.],[246.09206],[-2170.837],-4.351468843941865,-4.351468843941865
