Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
0.9666666666666667,325065700.0,1401494.1,2270737.0,0.0,45.695,14.501497600295062,16905907100759.066,21466585914800.0,1.183468617728,24,0,16.304409503936768,272844960.89982414,889282720.8998246,0.25,1.9200000911951065,287671260000.0,[-72.46169],57413698000.0,25734246000.0,88158910000.0,106843830000.0,4101573935307.3975,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-72.46169],[18.163395],-0.9931735902452118,-0.9931735902452118
1.0,324969900.0,1397189.0,2370843.8,0.0,48.171,14.501497600295062,16906179960072.36,21466585914800.0,1.219939794944,24,0,16.304409503936768,272859313.29297066,889297073.2929701,0.25,1.9200000911951065,297260300000.0,[-74.96201],59265753000.0,26564383000.0,91002740000.0,110290410000.0,4087163506112.877,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-74.96201],[18.789555],-0.9933557444813408,-0.9933557444813408
2.0,323105280.0,807701.1,4824958.0,0.0,98.349,12.902452663841792,16914372417080.068,21466585914800.0,2.369322745856,24,0,16.304409503936768,273290236.3293991,889727996.3293985,0.25,1.9200000911951065,584931500000.0,[-149.93286],114827395000.0,51468485000.0,176317810000.0,213687660000.0,3654850630277.2617,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-149.93286],[37.576942],-0.992190472982398,-0.992190472982398
3.0,322218660.0,435985.56,6083283.0,0.0,122.16,10.978552896831042,16922577812324.719,21466585914800.0,3.661736968192,24,0,16.304409503936768,273721839.91677094,890159599.9167712,0.25,1.9200000911951065,872602600000.0,[-224.86136],170389050000.0,76372590000.0,261632900000.0,317084930000.0,3222537754441.6465,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-224.86136],[56.369835],-0.9916215036516808,-0.9916215036516808
4.0,320963780.0,630718.0,7143397.0,0.0,141.554,10.087732928257658,16930796166239.51,21466585914800.0,4.996279042048,0,0,16.304409503936768,274154125.1298733,890591885.1298732,0.25,1.9200000911951065,1160273900000.0,[-299.7827],225950700000.0,101276710000.0,346947980000.0,420482200000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-299.7827],[75.16404],-0.9915842552593357,-0.9915842552593357
5.0,319504000.0,650279.7,8593773.0,0.0,172.046,8.700750539527057,16939027499289.885,21466585914800.0,6.362239074304,0,0,16.304409503936768,274587093.045187,891024853.0451866,0.25,1.9200000911951065,1447945000000.0,[-374.7219],281512350000.0,126180820000.0,432263040000.0,523879450000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-374.7219],[93.959206],-0.9916790118892824,-0.9916790118892824
6.0,318396100.0,521663.8,9820144.0,0.0,196.888,7.841520781557793,16947271831973.625,21466585914800.0,7.75568228352,0,0,16.304409503936768,275020744.7408943,891458504.7408942,0.25,1.9200000911951065,1735616200000.0,[-449.65207],337074000000.0,151084920000.0,517578100000.0,627276700000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-449.65207],[112.75519],-0.9918968465750371,-0.9918968465750371
7.0,317231230.0,568779.2,10937914.0,0.0,218.184,7.120198145929719,16955529184820.871,21466585914800.0,9.203351552,0,0,16.304409503936768,275455081.2968807,891892841.2968808,0.25,1.9200000911951065,2023287400000.0,[-524.5766],392635650000.0,175989030000.0,602893200000.0,730674000000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-524.5766],[131.55276],-0.9914744082491656,-0.9914744082491656
8.0,315152300.0,1041816.9,12543776.0,0.0,248.444,6.847257619045076,16963799578394.2,21466585914800.0,10.64602435584,0,0,16.304409503936768,275890103.79473877,892327863.7947378,0.25,1.9200000911951065,2310958500000.0,[-599.51544],448197300000.0,200893140000.0,688208300000.0,834071200000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-599.51544],[150.35013],-0.9925386322418219,-0.9925386322418219
9.0,311331360.0,1776656.1,15629857.0,0.0,313.035,6.708244448443848,16972083033288.639,21466585914800.0,12.063225151488,0,0,16.304409503936768,276325813.3177624,892763573.3177626,0.25,1.9200000911951065,2598629800000.0,[-674.50934],503758900000.0,225797240000.0,773523300000.0,937468500000.0,2876687453773.1543,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[-674.50934],[169.14685],-0.9939512411032417,-0.9939512411032417
