Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,325724740.0,1026305.7,1986868.2,0.0,39.73736328125,0.30532061390635623,17451207832735.002,21466585914800.0,2.36738445312,20,540391094794.52075,0.1630441,18456508084.12896,1059910099.2067724,9589041298.803843,[-74.94847],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-74.94847],[18.80483],-0.9923459192207787,-0.9923459192207787
2.0,323779970.0,927794.3,4030144.2,0.0,80.602890625,0.6461215747335707,18005425183884.395,21466585914800.0,4.743888896,20,1080782189589.0398,0.1630441,18490202412.909348,1093604427.9871588,9589041298.803843,[-149.90436],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-149.90436],[37.609543],-0.9921296275134541,-0.9921296275134541
3.0,321741150.0,903597.06,6093151.5,0.0,121.8630390625,0.9919805734546918,18560654318062.312,21466585914800.0,7.045893849088,20,1621173284383.5588,0.1630441,18523958254.289337,1127360269.3671544,9589041298.803843,[-224.86089],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-224.86089],[56.413063],-0.9920230195643394,-0.9920230195643394
4.0,319944260.0,809429.2,7984238.0,0.0,159.68475,1.3273937936261904,19116897082386.844,21466585914800.0,9.37076195328,20,2161564379178.078,0.1630441,18557775720.566772,1161177735.6445858,9589041298.803843,[-299.81186],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-299.81186],[75.21693],-0.9918825262898952,-0.9918825262898952
5.0,318472420.0,650229.3,9615246.0,0.0,192.304921875,1.6485778397174757,19674155327348.21,21466585914800.0,11.742801297408,20,2701955473972.6035,0.1630441,18591654924.244476,1195056939.3222926,9589041298.803843,[-374.7545],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-374.7545],[94.021805],-0.9916630895469765,-0.9916630895469765
6.0,316795000.0,791597.44,11151243.0,0.0,223.024859375,1.9438955480888143,20232430906814.88,21466585914800.0,14.097970102272,20,3242346568767.13,0.1630441,18625595978.030685,1228997993.1084998,9589041298.803843,[-449.69406],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-449.69406],[112.82551],-0.9920964814376037,-0.9920964814376037
7.0,315045700.0,834298.25,12857912.0,0.0,257.15825,2.2180844096824073,20791725678039.75,21466585914800.0,16.537991774208,20,3782737663561.6562,0.1630441,18659598994.83938,1263001009.9171925,9589041298.803843,[-524.63916],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-524.63916],[131.63133],-0.9919468834528997,-0.9919468834528997
8.0,313170300.0,864804.94,14702782.0,0.0,294.05565625,2.468145375299952,21352041501666.36,21466585914800.0,18.995902152704,20,4323128758356.1826,0.1630441,18693664087.79068,1297066102.868494,9589041298.803843,[-599.58856],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-599.58856],[150.43718],-0.9919076334381994,-0.9919076334381994
9.0,311189950.0,912245.1,16635661.0,0.0,332.71325,2.6991797839372684,21913380241735.008,21466585914800.0,21.47564388352,20,4863519853150.696,0.1630441,18727791370.211227,1331193385.2890377,9589041298.803843,[-674.541],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-674.541],[169.24338],-0.9919363387359077,-0.9919363387359077
10.0,303970530.0,1087281.5,23680076.0,1.499963880041145,374.9825,2.913241175802964,22475743765689.035,21466585914800.0,23.885265240064,20,5403910947945.208,0.1630441,18761980955.634537,1365382970.71235,9589041298.803843,[-749.499],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-749.499],[188.04858],-0.9922788477204559,-0.9922788477204559
11.0,272104770.0,1060757.4,55572336.0,10.499746551900634,421.113625,3.1129305155518043,23039133944381.008,21466585914800.0,26.388597833728,20,5944302042739.72,0.1630441,18796232957.801407,1399634972.8792236,9589041298.803843,[-824.4633],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-824.4633],[206.8557],-0.9922714023898414,-0.9922714023898414
12.0,240509580.0,924964.6,87303340.0,19.499531048922268,464.01971875,3.287144128679239,23603552652078.89,21466585914800.0,29.004497158144,20,6484693137534.231,0.1630441,18830547490.660286,1433949505.7380967,9589041298.803843,[-899.4225],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],[-899.4225],[225.66428],-0.9919715102278053,-0.9919715102278053
13.0,209463860.0,677561.3,118596470.0,28.499315545943897,498.1685625,3.437626287608235,24218125561693.37,21667000000000,31.628707495936,20,7025084232328.743,0.1630441,20852740415.002132,3545666630.5034456,9678565499.22734,[-974.36755],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-974.36755],[244.47266],-0.9918495307628195,-0.9918495307628195
14.0,178887500.0,447143.94,149403230.0,37.499097609416005,522.58975,3.570262888862521,24845130636633.203,21667000000000,34.289271963648,20,7565475327123.255,0.1630441,20944603050.659733,3637529266.161045,9678565499.22734,[-1049.2971],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-1049.2971],[263.2816],-0.9915001721022008,-0.9915001721022008
15.0,148962140.0,223370.11,179552370.0,46.45402692155535,536.8073125,3.697683315602728,25474897858782.86,21667000000000,36.958428463104,20,8105866421917.767,0.1630441,21036870369.043056,3729796584.5443683,9678565499.22734,[-1124.2101],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-1124.2101],[282.09076],-0.991201311106576,-0.991201311106576
16.0,119557860.0,84843.89,209095170.0,55.34368600183011,543.189625,3.8260057015358755,25565643398398.11,21667000000000,38.513558945792,68,8105866421917.767,0.1630441,3023332117.442545,3745733233.1082387,9678565499.22734,[-1199.1107],1835616438.3561664,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-1199.1107],[300.88074],-0.9911995747719449,-0.9911995747719449
17.0,90454260.0,25732.69,238257890.0,64.18152994557525,545.377625,3.950413157266523,25656294499671.656,21667000000000,40.045817888768,68,8105866421917.767,0.1630441,3020177480.169552,3759016951.999628,9678565499.22734,[-1274.0049],1819178082.1917849,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-1274.0049],[319.67834],-0.9911157920641677,-0.9911157920641677
18.0,63050236.0,5946.7617,265681700.0,72.51440262826269,545.986625,4.0714012233169266,25746850746574.008,21667000000000,41.62213380096,68,8105866421917.767,0.1630441,3017008945.76416,3772286773.758617,9678565499.22734,[-1348.8951],1802739726.0274034,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.06984610279974796,[0.0077169],[0.00079376],[0.02954433],[0.00252804],[-6.98461],[-0.03129208],[-1348.8951],[338.47778],-0.9909412486769029,-0.9909412486769029
